trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99750312239746008}",20,0,-94.0770014669987,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99501247919268232}",25,1,-133.60852296087495,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.99252805481913842}",20,0,-7.4787531681814885,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99004983374916811}",25,0,-96.32672301300312,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.98757780049388144}",20,0,-154.53343922907248,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.98511193960306265}",30,10,-164.8984350154175,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9826522356650732}",30,0,-130.2185446540862,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.98019867330675525}",25,0,-104.30014526691271,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.97775123719333634}",20,0,-97.32448099021845,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.97530991202833262}",25,0,-100.94087016980762,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.972874682553454}",25,0,-83.33985704638341,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.97044553354850815}",20,0,-78.39360210308708,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.96802244983130603}",25,0,-196.54267029686991,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.96560541625756646}",25,0,-175.86514985658425,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.96319441772082182}",20,0,-125.59487833229353,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.96078943915232318}",20,0,-39.0011400315353,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.95839046552094698}",25,0,-70.02068856074396,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.95599748183309996}",25,0,-140.46393834499116,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.95361047313262637}",35,0,-147.05876529513338,"{0: 22, 1: 5, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.95122942450071402}",30,0,-141.7512109144344,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.94885432105580125}",20,0,-181.03779165814763,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.94648514795348382}",35,0,-127.43658445003783,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.94412189038642214}",20,6,-44.32254647659208,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.94176453358424872}",30,0,-158.41739236918806,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.93941306281347581}",20,0,-53.83625989299687,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.93706746337740343}",20,0,-64.22113051999037,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.93472772061602749}",20,0,-104.60173777662004,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.93239381990594827}",20,0,-112.0974650454993,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.93006574666027853}",25,0,-150.2391028418004,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.92774348632855286}",30,0,-197.18828672077453,"{0: 16, 1: 2, 2: 9, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.92542702439663682}",20,8,-57.55740477243689,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.92311634638663576}",25,0,-118.89886101375764,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.92081143785680453}",25,0,-87.41631600507695,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.91851228440145738}",30,0,-213.83845122155103,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.91621887165087756}",20,0,-119.05704153476476,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.91393118527122819}",30,0,-69.92701372993707,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.91164921096446172}",25,11,-33.4954747833093,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.90937293446823142}",25,0,-119.92215102187401,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
